X,Y,|u|,ux,uy,Status,elastic_strain_xx,elastic_strain_yy,elastic_strain_zz,elastic_strain_xy,plastic_strain_xx,plastic_strain_yy,plastic_strain_zz,plastic_strain_xy,Mises,Stress_xx,Stress_yy,Stress_zz,Stress_xy,strain_xx,strain_yy,strain_xy
1.8,0,0,-5.33E-38,-4.92E-37,0,1.25E-05,-0.00190516,0,0.00232461,0,0,0,0,32.0321,-16.2337,-38.3611,-16.3784,13.4112,1.25E-05,-0.00190516,2.32E-03
1.84,0,0,-4.72E-38,-4.80E-37,0,1.15E-05,-0.00188125,0,0.00234629,0,0,0,0,31.9969,-16.0478,-37.8872,-16.1805,13.5363,1.15E-05,-0.00188125,2.35E-03
1.88,0,0,-4.13E-38,-4.68E-37,0,1.05E-05,-0.00185697,0,0.00236582,0,0,0,0,31.947,-15.8589,-37.4061,-15.9795,13.649,1.05E-05,-0.00185697,2.37E-03
1.92,0,0,-3.56E-38,-4.56E-37,0,9.40E-06,-0.00183238,0,0.0023832,0,0,0,0,31.8822,-15.6672,-36.9186,-15.7757,13.7492,9.40E-06,-0.00183238,2.38E-03
1.96,0,0,-3.01E-38,-4.45E-37,0,8.36E-06,-0.0018075,0,0.00239843,0,0,0,0,31.8026,-15.4731,-36.4253,-15.5695,13.8371,8.36E-06,-0.0018075,2.40E-03
2,0,0,-2.47E-38,-4.33E-37,0,7.32E-06,-0.00178238,0,0.00241152,0,0,0,0,31.7081,-15.2767,-35.927,-15.3611,13.9126,7.32E-06,-0.00178238,2.41E-03
2.04,0,0,-1.96E-38,-4.22E-37,0,6.28E-06,-0.00175704,0,0.00242249,0,0,0,0,31.5989,-15.0783,-35.4243,-15.1508,13.9759,6.28E-06,-0.00175704,2.42E-03
2.08,0,0,-1.47E-38,-4.11E-37,0,5.25E-06,-0.00173152,0,0.00243135,0,0,0,0,31.4749,-14.8783,-34.918,-14.9389,14.027,5.25E-06,-0.00173152,2.43E-03
2.12,0,0,-1.00E-38,-4.00E-37,0,4.23E-06,-0.00170586,0,0.00243814,0,0,0,0,31.3365,-14.6768,-34.4086,-14.7256,14.0662,4.23E-06,-0.00170586,2.44E-03
2.16,0,0,-5.57E-39,-3.90E-37,0,3.22E-06,-0.00168009,0,0.00244286,0,0,0,0,31.1836,-14.4741,-33.8969,-14.5113,14.0934,3.22E-06,-0.00168009,2.44E-03
2.2,0,0,-1.31E-39,-3.79E-37,0,2.23E-06,-0.00165423,0,0.00244556,0,0,0,0,31.0165,-14.2704,-33.3835,-14.2962,14.109,2.23E-06,-0.00165423,2.45E-03
2.24,0,0,2.74E-39,-3.69E-37,0,1.25E-06,-0.00162833,0,0.00244627,0,0,0,0,30.8355,-14.0661,-32.869,-14.0805,14.1131,1.25E-06,-0.00162833,2.45E-03
2.28,0,0,6.57E-39,-3.59E-37,0,2.87E-07,-0.00160242,0,0.00244502,0,0,0,0,30.6408,-13.8613,-32.3541,-13.8646,14.1059,2.87E-07,-0.00160242,2.45E-03
2.32,0,0,1.02E-38,-3.49E-37,0,-6.61E-07,-0.00157652,0,0.00244184,0,0,0,0,30.4327,-13.6563,-31.8393,-13.6487,14.0875,-6.61E-07,-0.00157652,2.44E-03
2.36,0,0,1.36E-38,-3.39E-37,0,-1.59E-06,-0.00155066,0,0.00243679,0,0,0,0,30.2114,-13.4513,-31.3251,-13.4329,14.0584,-1.59E-06,-0.00155066,2.44E-03
